0.71	0.09	-0.01	47.11	6.22	-0.89	1
0.63	0.11	-0.02	41.78	7.41	-1.48	1
0.7	0.09	0	46.52	6.22	0.3	1
0.7	0.11	-0.01	46.52	7.41	-0.89	1
0.69	0.08	0	45.93	5.04	0.3	1
0.71	0.09	-0.01	47.11	6.22	-0.89	1
0.67	0.1	0.01	44.74	6.81	0.89	1
0.69	0.12	0.03	45.93	8	2.07	1
0.69	0.09	-0.02	45.93	6.22	-1.48	1
0.68	0.09	0.01	45.33	6.22	0.89	1
0.69	0.08	0.01	45.93	5.04	0.89	1
0.69	0.1	-0.02	45.93	6.81	-1.48	1
0.68	0.11	0.01	45.33	7.41	0.89	1
0.7	0.11	0	46.52	7.41	-0.3	1
0.72	0.12	0.03	48.3	8	2.07	1
0.69	0.07	0	45.93	4.44	0.3	1
0.69	0.1	0.04	45.93	6.81	2.67	1
0.64	0.16	0.01	42.37	10.96	0.89	1
0.7	0.08	-0.02	46.52	5.04	-1.48	1
0.73	0.05	-0.03	48.89	3.26	-2.07	1
0.7	0.11	0	46.52	7.41	-0.3	1
0.67	0.1	0.02	44.74	6.81	1.48	1
0.68	0.11	0.04	45.33	7.41	2.67	1
0.71	0.1	0.03	47.11	6.81	2.07	1
0.72	0.07	0.03	48.3	4.44	2.07	1
0.7	0.1	0	46.52	6.81	0.3	1
0.64	0.09	-0.01	42.96	6.22	-0.89	1
0.72	0.1	0	47.7	6.81	0.3	1
0.69	0.11	-0.04	45.93	7.41	-2.67	1
0.68	0.09	0.02	45.33	6.22	1.48	1
0.67	0.11	0	44.74	7.41	-0.3	1
0.68	0.1	0	45.33	6.81	-0.3	1
0.69	0.09	0	45.93	6.22	0.3	1
0.7	0.09	0.04	46.52	6.22	2.67	1
0.71	0.09	0	47.11	6.22	-0.3	1
0.67	0.1	0	44.74	6.81	-0.3	1
0.69	0.11	0	45.93	7.41	0.3	1
0.72	0.1	-0.02	48.3	6.81	-1.48	1
0.69	0.13	0	45.93	8.59	0.3	1
0.69	0.12	-0.01	45.93	8	-0.89	1
0.69	0.1	0	45.93	6.81	-0.3	1
0.67	0.08	0.01	44.74	5.04	0.89	1
0.71	0.09	0	47.11	6.22	0.3	1
0.68	0.11	0	45.33	7.41	-0.3	1
0.68	0.14	0.02	45.33	9.19	1.48	1
0.71	0.11	-0.02	47.11	7.41	-1.48	1
0.72	0.1	0	47.7	6.81	-0.3	1
0.7	0.12	-0.02	46.52	8	-1.48	1
0.66	0.13	0.02	44.15	8.59	1.48	1
0.72	0.09	-0.01	47.7	6.22	-0.89	1
0.68	0.08	0.01	45.33	5.04	0.89	1
0.69	0.08	0.01	45.93	5.63	0.89	1
0.69	0.11	-0.03	45.93	7.41	-2.07	1
0.69	0.14	0.01	45.93	9.19	0.89	1
0.71	0.11	-0.03	47.11	7.41	-2.07	1
0.7	0.1	-0.01	46.52	6.81	-0.89	1
0.68	0.08	0.02	45.33	5.63	1.48	1
0.69	0.11	-0.02	45.93	7.41	-1.48	1
0.7	0.09	0	46.52	6.22	-0.3	1
0.71	0.12	0.05	47.11	8	3.26	1
0.68	0.14	0	45.33	9.19	0.3	1
0.67	0.12	0.02	44.74	8	1.48	1
0.7	0.08	0	46.52	5.04	-0.3	1
0.69	0.09	0	45.93	6.22	-0.3	1
0.68	0.12	-0.01	45.33	8	-0.89	1
0.68	0.09	0	45.33	6.22	0.3	1
0.68	0.1	0.03	45.33	6.81	2.07	1
0.71	0.08	0.02	47.11	5.63	1.48	1
0.71	0.09	0.03	47.11	6.22	2.07	1
0.68	0.11	0.02	45.33	7.41	1.48	1
0.7	0.11	0.01	46.52	7.41	0.89	1
0.69	0.1	-0.03	45.93	6.81	-2.07	1
0.69	0.09	-0.01	45.93	6.22	-0.89	1
0.73	0.09	0	48.89	6.22	0.3	1
0.7	0.12	0	46.52	8	-0.3	1
0.72	0.12	0.06	47.7	8	3.85	1
0.7	0.12	0.01	46.52	8	0.89	1
0.71	0.11	0.02	47.11	7.41	1.48	1
0.67	0.09	0.01	44.74	6.22	0.89	1
0.68	0.09	-0.01	45.33	6.22	-0.89	1
0.7	0.08	-0.01	46.52	5.04	-0.89	1
0.67	0.11	-0.03	44.74	7.41	-2.07	1
